name
"{""en"": ""Car"", ""ar"": ""سيارة"", ""fr"": ""Voiture""}"
"{""en"": ""Kilogram"", ""ar"": ""كيلو جرام"", ""fr"": ""Kilogramme""}"
"{""en"": ""barrel"", ""ar"": ""برميل"", ""fr"": ""baril""}"
"{""en"": ""a"", ""ar"": ""علبة"", ""fr"": """"}"
"{""en"": ""L"", ""ar"": ""لفة"", ""fr"": ""L""}"
"{""en"": ""lot"", ""ar"": ""لوط"", ""fr"": ""parcelle""}"
"{""en"": ""Piece"", ""ar"": ""قطعة"", ""fr"": ""Morceau""}"
"{""en"": ""m3"", ""ar"": ""متر مكعب"", ""fr"": ""avec""}"
"{""en"": ""m2"", ""ar"": ""متر مسطح"", ""fr"": ""quoi""}"
"{""en"": ""M"", ""ar"": ""متر طولي"", ""fr"": ""M""}"
"{""en"": ""gram"", ""ar"": ""جرام"", ""fr"": ""gramme""}"
"{""en"": ""ton"", ""ar"": ""طن"", ""fr"": ""tonne""}"
"{""en"": ""kg"", ""ar"": ""كيلو"", ""fr"": ""kg""}"
